zip,zone,delivery_rate,pickup_rate
48383,PD Utica 6, $100.00 , $10.00 
48329,PD Utica 6, $100.00 , $10.00 
48350,PD Utica 6, $100.00 , $10.00 
48356,PD Utica 6, $100.00 , $10.00 
48357,PD Utica 6, $100.00 , $10.00 
48353,PD Utica 6, $100.00 , $10.00 
48430,PD Utica 6, $100.00 , $10.00 
48855,PD Utica 6, $100.00 , $10.00 
48816,PD Utica 6, $100.00 , $10.00 
48473,PD Utica 3, $100.00 , $10.00 
48411,PD Utica 3, $100.00 , $10.00 
48440,PD Utica 3, $100.00 , $10.00 
48553,PD Utica 3, $100.00 , $10.00 
48554,PD Utica 3, $100.00 , $10.00 
48044,PD Utica 1, $100.00 , $10.00 
48042,PD Utica 1, $100.00 , $10.00 
48306,PD Utica 1, $100.00 , $10.00 
48316,PD Utica 2, $100.00 , $10.00 
48150,PD Livonia 1, $100.00 , $10.00 
48185,PD Livonia 1, $100.00 , $10.00 
48135,PD Livonia 1, $100.00 , $10.00 
48187,PD Livonia 1, $100.00 , $10.00 
48170,PD Livonia 1, $100.00 , $10.00 
48188,PD Livonia 1, $100.00 , $10.00 
48111,PD Livonia 1, $100.00 , $10.00 
48174,PD Livonia 1, $100.00 , $10.00 
48184,PD Livonia 1, $100.00 , $10.00 
48186,PD Livonia 1, $100.00 , $10.00 
48242,PD Livonia 1, $100.00 , $10.00 
48164,PD Livonia 1, $100.00 , $10.00 
48117,PD Livonia 1, $100.00 , $10.00 
48162,PD Livonia 1, $100.00 , $10.00 
48161,PD Livonia 1, $100.00 , $10.00 
48145,PD Livonia 1, $100.00 , $10.00 
48133,PD Livonia 1, $100.00 , $10.00 
48166,PD Livonia 1, $100.00 , $10.00 
48179,PD Livonia 1, $100.00 , $10.00 
48134,PD Livonia 1, $100.00 , $10.00 
48173,PD Livonia 1, $100.00 , $10.00 
48183,PD Livonia 1, $100.00 , $10.00 
48138,PD Livonia 1, $100.00 , $10.00 
48193,PD Livonia 1, $100.00 , $10.00 
48180,PD Livonia 1, $100.00 , $10.00 
48150,PD Livonia 2, $100.00 , $10.00 
48154,PD Livonia 2, $100.00 , $10.00 
48239,PD Livonia 2, $100.00 , $10.00 
48223,PD Livonia 2, $100.00 , $10.00 
48228,PD Livonia 2, $100.00 , $10.00 
48227,PD Livonia 2, $100.00 , $10.00 
48204,PD Livonia 2, $100.00 , $10.00 
48238,PD Livonia 2, $100.00 , $10.00 
48206,PD Livonia 2, $100.00 , $10.00 
48208,PD Livonia 2, $100.00 , $10.00 
48216,PD Livonia 2, $100.00 , $10.00 
48209,PD Livonia 2, $100.00 , $10.00 
48218,PD Livonia 2, $100.00 , $10.00 
48217,PD Livonia 2, $100.00 , $10.00 
48120,PD Livonia 2, $100.00 , $10.00 
48210,PD Livonia 2, $100.00 , $10.00 
48126,PD Livonia 2, $100.00 , $10.00 
48127,PD Livonia 2, $100.00 , $10.00 
