zip,zone,delivery_rate,pickup_rate
48360,AHM Clarkston 3.B, $100.00 , $10.00 
48359,AHM Clarkston 3.B, $100.00 , $10.00 
48362,AHM Clarkston 3.B, $100.00 , $10.00 
48371,AHM Clarkston 3.B, $100.00 , $10.00 
48455,AHM Clarkston 3.B, $100.00 , $10.00 
48446,AHM Clarkston 3.B, $100.00 , $10.00 
48440,AHM Clarkston 3.B, $100.00 , $10.00 
48460,AHM Clarkston 4.A, $100.00 , $50.00 
48457,AHM Clarkston 4.A, $100.00 , $50.00 
48433,AHM Clarkston 4.A, $100.00 , $10.00 
48532,AHM Clarkston 4.A, $100.00 , $10.00 
48507,AHM Clarkston 4.A, $100.00 , $10.00 
48439,AHM Clarkston 4.A, $100.00 , $10.00 
48442,AHM Clarkston 4.A, $100.00 , $10.00 
48350,AHM Clarkston 4.A, $100.00 , $10.00 
48346,AHM Clarkston 4.A, $100.00 , $10.00 
48551,AHM Clarkston 4.A, $100.00 , $10.00 
48553,AHM Clarkston 4.A, $100.00 , $10.00 
48346,AHM Clarkston 4.B, $100.00 , $10.00 
48350,AHM Clarkston 4.B, $100.00 , $10.00 
48442,AHM Clarkston 4.B, $100.00 , $10.00 
48439,AHM Clarkston 4.B, $100.00 , $10.00 
48529,AHM Clarkston 4.B, $100.00 , $10.00 
48519,AHM Clarkston 4.B, $100.00 , $10.00 
48509,AHM Clarkston 4.B, $100.00 , $10.00 
48503,AHM Clarkston 4.B, $100.00 , $10.00 
48504,AHM Clarkston 4.B, $100.00 , $10.00 
48505,AHM Clarkston 4.B, $100.00 , $10.00 
48506,AHM Clarkston 4.B, $100.00 , $10.00 
48458,AHM Clarkston 4.B, $100.00 , $10.00 
48420,AHM Clarkston 4.B, $100.00 , $50.00 
48817,AHM Clarkston 5.A, $100.00 , $50.00 
48449,AHM Clarkston 5.A, $100.00 , $10.00 
48473,AHM Clarkston 5.A, $100.00 , $10.00 
48507,AHM Clarkston 5.A, $100.00 , $10.00 
48554,AHM Clarkston 5.A, $100.00 , $10.00 
48553,AHM Clarkston 5.A, $100.00 , $10.00 
48551,AHM Clarkston 5.A, $100.00 , $10.00 
48439,AHM Clarkston 5.A, $100.00 , $10.00 
48442,AHM Clarkston 5.A, $100.00 , $10.00 
48350,AHM Clarkston 5.A, $100.00 , $10.00 
48346,AHM Clarkston 5.A, $100.00 , $10.00 
48348,AHM Clarkston 5.A, $100.00 , $10.00 
48346,AHM Clarkston 5.B, $100.00 , $10.00 
48350,AHM Clarkston 5.B, $100.00 , $10.00 
48442,AHM Clarkston 5.B, $100.00 , $10.00 
48439,AHM Clarkston 5.B, $100.00 , $10.00 
48436,AHM Clarkston 5.B, $100.00 , $10.00 
48429,AHM Clarkston 5.B, $100.00 , $10.00 
48476,AHM Clarkston 5.B, $100.00 , $50.00 
48554,AHM Clarkston 5.B, $100.00 , $10.00 
48473,AHM Clarkston 5.B, $100.00 , $10.00 
48553,AHM Clarkston 5.B, $100.00 , $10.00 
48551,AHM Clarkston 5.B, $100.00 , $10.00 
48507,AHM Clarkston 5.B, $100.00 , $10.00 
48437,AHM Clarkston 4.B, $100.00 , $10.00 
